Ontology ID	parent class	label	datatype	requirement	description	examples	guidance	source	data status	min value	max value	capitalize
MIXS:0000719	core field	part_org_nitro	xs:token		Concentration of particulate organic nitrogen	0.3 micromole per liter	"Expected value: measurement value. Preferred unit: microgram per liter, micromole per liter. Occurrence: 1. Position: 1.0. This field is used uniquely in: water"					
MIXS:0000754	core field	perturbation	xs:token		"Type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with perturbation regimen including how many times the perturbation was repeated, how long each perturbation lasted, and the start and end time of the entire perturbation period; can include multiple perturbation types"	antibiotic addition;R2/2018-05-11T14:30Z/2018-05-11T19:30Z/P1H30M	"Expected value: perturbation type name;perturbation interval and duration. Occurrence: m. Position: 1.0. This field is used in: 13 packages: air, host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, wastewater_sludge, water"					
MIXS:0000516	core field	petroleum_hydrocarb	xs:token		Concentration of petroleum hydrocarbon	0.05 micromole per liter	"Expected value: measurement value. Preferred unit: micromole per liter. Occurrence: 1. Position: 1.0. This field is used in: 3 packages: microbial mat_biofilm, sediment, water"					
MIXS:0001001	core field	ph	xs:decimal		"Ph measurement of the sample, or liquid portion of sample, or aqueous phase of the fluid"	7.2	"Expected value: measurement value. Occurrence: 1. Position: 54.0. This field is used in: 8 packages: hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, soil, wastewater_sludge, water"					
MIXS:0000180	core field	phaeopigments	xs:token		Concentration of phaeopigments; can include multiple phaeopigments	2.5 milligram per cubic meter	"Expected value: phaeopigment name;measurement value. Preferred unit: milligram per cubic meter. Occurrence: m. Position: 1.0. This field is used in: 3 packages: microbial mat_biofilm, sediment, water"					
MIXS:0000505	core field	phosphate	xs:token		Concentration of phosphate	0.7 micromole per liter	"Expected value: measurement value. Preferred unit: micromole per liter. Occurrence: 1. Position: 1.0. This field is used in: 5 packages: microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, wastewater_sludge, water"					
MIXS:0000181	core field	phosplipid_fatt_acid	xs:token		Concentration of phospholipid fatty acids; can include multiple values	2.98 milligram per liter	"Expected value: phospholipid fatty acid name;measurement value. Preferred unit: mole per gram, mole per liter. Occurrence: m. Position: 1.0. This field is used in: 4 packages: microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water"					
MIXS:0000725	core field	photon_flux	xs:token		Measurement of photon flux	3.926 micromole photons per second per square meter	Expected value: measurement value. Preferred unit: number of photons per second per unit area. Occurrence: 1. Position: 1.0. This field is used uniquely in: water					
MIXS:0000430	core field	potassium	xs:token		Concentration of potassium in the sample	463 milligram per liter	"Expected value: measurement value. Preferred unit: milligram per liter, parts per million. Occurrence: 1. Position: 68.0. This field is used in: 6 packages: hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water"					
MIXS:0000412	core field	pressure	xs:token		"Pressure to which the sample is subject to, in atmospheres"	50 atmosphere	"Expected value: measurement value. Preferred unit: atmosphere. Occurrence: 1. Position: 41.0. This field is used in: 6 packages: hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water"					
